#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
397,51794,109,'26','447012254806730752','01:12:48.61','-00:17:24.67',0.017544,1.1e-05,0,'GALAXY','AGN BROADLINE'
662,52147,180,'26','745395252373776384','01:32:53.31','-09:52:39.53',5.72974,0.000826,16,'QSO','BROADLINE'
733,52207,222,'26','825345691638327296','21:49:35.23','+11:38:42.10',0.239369,2.6e-05,0,'QSO','BROADLINE'
1360,53033,186,'26','1531275051481982976','10:30:07.08','+41:23:53.53',0.189743,0.000127,0,'GALAXY','STARBURST BROADLINE'
1566,53003,429,'26','1763277227119634432','03:24:40.13','+00:22:52.25',0.245902,5.6e-05,0,'GALAXY','STARBURST BROADLINE'
2266,53679,422,'26','2551405249105520640','07:59:40.12','+15:23:12.54',0.015516,4e-06,0,'GALAXY','AGN BROADLINE'
4391,55866,835,'v5_10_0','4944056112414433280','02:22:49.02','-05:34:01.08',0.068774,9e-06,0,'GALAXY','STARFORMING'
4755,55660,45,'v5_10_0','5353666521502556160','12:47:36.13','+02:52:09.91',0.432953,7e-05,0,'QSO','AGN BROADLINE'
5867,56034,304,'v5_10_0','6605738417564131328','13:16:42.90','+17:53:32.64',0.150326,2.3e-05,0,'QSO','AGN BROADLINE'
6788,56428,257,'v5_10_0','7642679319114784768','16:32:28.44','+54:14:49.39',0.213396,4.1e-05,0,'QSO','BROADLINE'
7047,56572,461,'v5_10_0','7934343472495960064','01:21:37.52','-05:18:44.74',0.533909,2.6e-05,0,'GALAXY','AGN'
