#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
1323,52797,335,'26','1489657707777517568','13:46:42.91','+55:50:38.49',0.116411,1.2e-05,0,'GALAXY','AGN'
2117,54115,230,'26','2383593393742702592','13:53:38.11','+31:33:25.15',0.112719,3.4e-05,0,'GALAXY','AGN BROADLINE'
3788,55246,275,'v5_10_0','4264984526558568448','11:13:32.49','-02:12:53.34',0.476202,4.3e-05,0,'QSO','AGN BROADLINE'
4767,55946,889,'v5_10_0','5367409322136412160','11:38:18.39','+06:06:20.15',0.498823,2.2e-05,0,'QSO','AGN BROADLINE'
7163,56593,697,'v5_10_0','8065012733228064768','01:42:55.80','-07:16:12.68',0.598537,0.000134,0,'QSO','BROADLINE'
