#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
267,51608,384,'26','300720855221037056','09:49:54.14','+00:36:58.65',0.006317,5e-06,0,'GALAXY','STARBURST'
267,51608,508,'26','300754940081498112','09:53:20.22','+00:41:51.83',0.012555,7e-06,0,'GALAXY','BROADLINE'
269,51910,466,'26','302995200089810944','10:04:53.27','+00:12:43.07',0.177913,2.8e-05,0,'GALAXY','STARFORMING'
280,51612,192,'26','315304777518966784','11:21:45.17','-00:01:21.05',0.099054,9e-06,0,'GALAXY','STARBURST'
284,51943,170,'26','319802335385643008','11:52:47.51','-00:40:07.66',0.004619,5e-06,0,'GALAXY','STARBURST'
291,51928,560,'26','327790836865591296','12:46:23.00','+00:28:39.90',0.088512,1.5e-05,0,'GALAXY','STARFORMING'
298,51955,204,'26','335574280131602432','13:33:05.34','-01:02:08.95',0.012346,5e-06,0,'GALAXY','AGN BROADLINE'
328,52282,535,'26','369442267410229248','11:43:29.64','-01:44:30.02',0.106046,1.3e-05,0,'GALAXY',''
330,52370,471,'26','371676476514265088','11:52:37.68','-02:28:06.39',0.003533,5e-06,0,'GALAXY','STARBURST'
336,51999,198,'26','378356828062377984','12:44:50.96','-02:13:04.52',0.010874,6e-06,0,'GALAXY','STARBURST'
345,51690,229,'26','388498443254917120','16:08:18.74','-00:27:45.43',0.112833,9e-06,0,'GALAXY',''
393,51794,456,'26','442604037813069824','00:44:02.90','+01:13:12.54',0.119582,3e-05,0,'GALAXY',''
397,51794,109,'26','447012254806730752','01:12:48.61','-00:17:24.67',0.017544,1.1e-05,0,'GALAXY','AGN BROADLINE'
403,51871,219,'26','453797892109395968','01:57:29.43','-00:51:05.85',0.155504,2.8e-05,0,'GALAXY',''
405,51816,603,'26','456155244116600832','02:17:04.78','+01:14:39.11',0.021411,8e-06,0,'GALAXY','BROADLINE'
411,51817,362,'26','462844397998860288','03:00:40.84','+01:02:59.99',0.072075,1.9e-05,0,'GALAXY',''
412,52258,180,'26','463920277525391360','03:10:47.15','-00:30:29.74',0.127465,3e-05,0,'GALAXY',''
412,52258,492,'26','464006039432357888','03:10:34.10','+00:29:38.66',0.047427,1.8e-05,0,'GALAXY','STARFORMING'
422,51878,80,'26','475151782427781120','01:12:16.50','+14:34:42.79',0.094201,1.7e-05,0,'GALAXY',''
427,51900,71,'26','480778808429930496','02:05:28.49','+13:15:04.02',0.025916,1.2e-05,0,'GALAXY','AGN BROADLINE'
434,51885,639,'26','488816238177314816','07:55:10.14','+42:40:14.80',0.072708,7e-06,0,'GALAXY','STARFORMING'
438,51884,462,'26','493271184398379008','08:03:12.61','+47:36:49.74',0.117353,2e-05,0,'GALAXY','AGN BROADLINE'
440,51885,227,'26','495458387920709632','08:09:11.74','+49:01:01.36',0.116703,2.4e-05,0,'GALAXY',''
444,51883,199,'26','499954290933131264','08:32:28.13','+52:36:22.38',0.016941,1.4e-05,0,'GALAXY','STARBURST'
446,51899,139,'26','502189598340835328','08:44:23.57','+53:26:39.88',0.753678,0.294303,0,'GALAXY',''
446,51899,529,'26','502296800724543488','08:45:10.51','+55:19:46.67',0.112892,6e-06,0,'GALAXY','AGN'
446,51899,597,'26','502315492422215680','08:48:05.78','+54:26:16.09',0.046712,1e-05,0,'GALAXY','AGN'
447,51877,376,'26','503380643942524928','08:43:17.21','+52:45:28.54',0.058749,1.1e-05,0,'GALAXY','BROADLINE'
450,51908,409,'26','506767415154075648','09:06:13.77','+56:10:15.21',0.04662,9e-06,0,'GALAXY','STARBURST'
457,51901,166,'26','514581919053146112','02:53:50.37','-07:56:36.52',0.115913,7e-06,0,'GALAXY','STARFORMING'
460,51924,616,'26','518083314217674752','03:25:25.36','-06:08:37.93',0.034414,1.2e-05,0,'GALAXY','AGN'
462,51909,444,'26','520287834779707392','03:39:23.15','-05:48:41.61',0.084796,8e-06,0,'GALAXY','AGN'
465,51910,482,'26','523675979877476352','04:08:52.23','-04:55:04.79',0.184822,2.16119,0,'GALAXY',''
468,51912,233,'26','526985235032729600','08:51:41.01','+00:24:43.58',0.051431,5e-06,0,'GALAXY','STARFORMING'
468,51912,523,'26','527064949625743360','08:53:09.55','+02:14:47.12',0.035238,9e-06,0,'GALAXY',''
472,51955,247,'26','531492683672217600','09:11:38.38','-00:42:53.99',0.070203,7e-06,0,'GALAXY','STARFORMING'
473,51929,374,'26','532653492637034496','09:16:10.58','+02:22:52.03',0.271356,5.6e-05,0,'GALAXY',''
473,51929,492,'26','532685928230053888','09:20:06.44','+01:58:07.65',0.084976,2.3e-05,0,'GALAXY','BROADLINE'
475,51965,626,'26','534974562287249408','09:33:13.95','+01:58:58.64',0.031121,1.1e-05,0,'GALAXY','STARFORMING'
486,51910,231,'26','547250883566528512','09:35:51.59','+61:21:11.53',0.039386,1.4e-05,0,'GALAXY','AGN BROADLINE'
488,51914,555,'26','549591743889172480','10:20:39.81','+64:24:35.90',0.122295,1.8e-05,0,'GALAXY','AGN'
489,51930,50,'26','550578830721443840','10:38:01.63','+64:15:58.95',0.005577,1.2e-05,0,'GALAXY','STARFORMING'
499,51988,5,'26','561825461257136128','14:32:13.33','+63:17:03.83',0.123051,1.9e-05,0,'GALAXY',''
