#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
328,52282,535,'26','369442267410229248','11:43:29.64','-01:44:30.02',0.106046,1.3e-05,0,'GALAXY',''
393,51794,456,'26','442604037813069824','00:44:02.90','+01:13:12.54',0.119582,3e-05,0,'GALAXY',''
499,51988,5,'26','561825461257136128','14:32:13.33','+63:17:03.83',0.123051,1.9e-05,0,'GALAXY',''
615,52347,594,'26','692591759561091072','15:38:12.94','+58:17:09.70',0.142767,3.2e-05,0,'GALAXY',''
807,52295,614,'26','908770038360598528','02:52:45.21','+00:39:58.40',0.280297,4.3e-05,0,'GALAXY',''
969,52442,134,'26','1091033884340021248','12:05:40.41','+49:10:29.27',0.214976,4.5e-05,0,'GALAXY',''
