#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
465,51910,482,'26','523675979877476352','04:08:52.23','-04:55:04.79',0.184822,2.16119,0,'GALAXY',''
550,51959,433,'26','619364003763742720','08:36:37.79','+48:17:52.52',0.187274,0.583505,0,'GALAXY',''
1237,52762,621,'26','1392908930283235328','10:18:00.00','+08:38:20.28',0.180729,0.280198,0,'GALAXY',''
1246,54478,520,'26','1403014295565920256','05:46:37.11','-00:13:59.88',2.9e-05,1.7e-05,0,'GALAXY',''
1247,52677,229,'26','1404060175786076160','05:47:38.74','-00:40:36.04',3.3e-05,2.1e-05,0,'GALAXY',''
1247,52677,259,'26','1404068422123284480','05:48:46.94','-00:59:09.04',0.000239,1.6e-05,0,'GALAXY',''
1250,52930,543,'26','1407524191414020096','04:23:48.59','+27:16:17.31',0.559269,9.2e-05,0,'GALAXY',''
1251,52964,193,'26','1408553884623857664','04:19:15.71','+28:39:06.86',0.557397,0.000179,0,'GALAXY',''
1256,52902,38,'26','1414140777042307072','04:39:29.45','+25:05:40.10',1.3e-05,1.3e-05,0,'GALAXY',''
1256,52902,362,'26','1414229837484156928','04:34:48.94','+26:22:08.05',5.6e-05,1.4e-05,0,'GALAXY',''
1256,52902,402,'26','1414240832600434688','04:35:48.83','+26:12:01.75',0.558522,0.000175,0,'GALAXY',''
1256,52902,506,'26','1414269419902756864','04:37:21.36','+25:31:59.66',0.55647,0.000178,0,'GALAXY',''
1256,52902,585,'26','1414291135257405440','04:40:14.68','+25:42:58.85',0.760756,3.1e-05,0,'GALAXY',''
1256,52902,636,'26','1414305154030659584','04:40:49.16','+25:41:14.69',0.000179,2e-05,0,'GALAXY',''
1257,52944,209,'26','1415313681775880192','04:42:35.21','+25:20:04.52',1.8e-05,1.6e-05,0,'GALAXY',''
1257,52944,244,'26','1415323302502623232','04:41:57.23','+25:05:23.36',0.00014,1.6e-05,0,'GALAXY',''
1257,52944,253,'26','1415325776403785728','04:40:26.00','+25:51:15.31',6.8e-05,1.9e-05,0,'GALAXY',''
1257,52944,300,'26','1415338695665412096','04:40:20.18','+25:58:05.79',0.760695,3.1e-05,0,'GALAXY',''
1642,53115,81,'26','1848749964407105536','14:04:10.72','+36:20:56.84',0.187623,5.4e-05,0,'GALAXY',''
1671,53446,10,'26','1881381550927407104','14:11:18.31','+48:12:57.66',0.134742,3.9e-05,0,'GALAXY',''
1679,53149,616,'26','1890555321210923008','15:34:47.54','+41:45:59.39',0.18154,4.87105,0,'GALAXY',''
1702,53144,178,'26','1916330622461175808','13:55:15.46','+11:09:05.81',0.20572,1.43456,0,'GALAXY',''
1999,53503,224,'26','2250735545200175104','12:15:36.77','+33:31:45.34',4.6e-05,1e-05,0,'GALAXY',''
2266,53679,82,'26','2551311790617159680','08:02:02.70','+14:03:15.16',0.593492,0.000104,0,'GALAXY',''
2445,54573,16,'26','2752829746998962176','13:41:53.57','+65:53:00.80',0.759245,0.000101,0,'GALAXY',''
2538,54271,59,'26','2857550253018605568','21:40:57.62','+72:21:08.81',1.8e-05,1.3e-05,0,'GALAXY',''
2538,54271,261,'26','2857605778355808256','21:29:51.02','+73:26:43.20',0.760351,7.3e-05,0,'GALAXY',''
2538,54271,359,'26','2857632716390688768','21:17:28.44','+73:33:30.83',8.4e-05,1.3e-05,0,'GALAXY',''
2538,54271,381,'26','2857638763704641536','21:24:16.03','+73:57:18.06',7.6e-05,1.3e-05,0,'GALAXY',''
2546,54625,124,'26','2866575325276432384','21:35:40.31','+72:12:10.39',0.556173,0.000224,0,'GALAXY',''
2555,54265,8,'26','2876676532561012736','20:49:33.93','+55:06:44.01',0.558302,0.000118,0,'GALAXY',''
2555,54265,10,'26','2876677082316826624','20:54:10.63','+55:51:18.84',0.556591,0.00024,0,'GALAXY',''
2567,54179,177,'26','2890233784366557184','10:32:59.83','+44:22:02.23',0.2155,2.31366,0,'GALAXY',''
2568,54153,3,'26','2891311855081383936','12:28:09.45','-00:54:06.29',0.196603,0.076641,0,'GALAXY',''
2714,54208,222,'26','3055753440664774656','07:50:53.94','+17:31:33.02',2.8e-05,7e-06,0,'GALAXY',''
2799,54368,3,'26','3151394737169131520','17:39:34.43','+43:28:09.32',0.75922,9.5e-05,0,'GALAXY',''
2806,54425,5,'26','3159276587229145088','08:13:54.34','-08:23:19.60',0.762352,4e-05,0,'GALAXY',''
2807,54433,195,'26','3160454714072524800','08:29:56.49','-04:44:26.81',1.9e-05,8e-06,0,'GALAXY',''
2815,54414,228,'26','3169470983979427840','20:47:13.08','+02:29:01.26',0.76036,0.00011,0,'GALAXY',''
3175,54828,372,'104','3574834539807219712','08:36:44.33','+48:23:41.90',0.00018,7e-06,0,'GALAXY',''
3290,54941,314,'104','3704297088071344128','16:53:42.06','+22:01:32.96',0.000163,6e-06,0,'GALAXY',''
3324,54943,272,'104','3742566140065456128','10:05:47.76','+54:13:39.66',0.000121,9e-06,0,'GALAXY',''
3480,54999,228,'104','3918194431844524032','16:42:29.82','+31:40:16.12',0.724053,0.068995,0,'GALAXY',''
5042,55856,436,'v5_10_0','5676907275316338688','22:19:14.90','+13:36:19.48',-0.001318,1.8e-05,0,'STAR','F0Ib (36673)'
