#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
267,51608,384,'26','300720855221037056','09:49:54.14','+00:36:58.65',0.006317,5e-06,0,'GALAXY','STARBURST'
280,51612,192,'26','315304777518966784','11:21:45.17','-00:01:21.05',0.099054,9e-06,0,'GALAXY','STARBURST'
284,51943,170,'26','319802335385643008','11:52:47.51','-00:40:07.66',0.004619,5e-06,0,'GALAXY','STARBURST'
291,51928,560,'26','327790836865591296','12:46:23.00','+00:28:39.90',0.088512,1.5e-05,0,'GALAXY','STARFORMING'
330,52370,471,'26','371676476514265088','11:52:37.68','-02:28:06.39',0.003533,5e-06,0,'GALAXY','STARBURST'
336,51999,198,'26','378356828062377984','12:44:50.96','-02:13:04.52',0.010874,6e-06,0,'GALAXY','STARBURST'
444,51883,199,'26','499954290933131264','08:32:28.13','+52:36:22.38',0.016941,1.4e-05,0,'GALAXY','STARBURST'
446,51899,529,'26','502296800724543488','08:45:10.51','+55:19:46.67',0.112892,6e-06,0,'GALAXY','AGN'
446,51899,597,'26','502315492422215680','08:48:05.78','+54:26:16.09',0.046712,1e-05,0,'GALAXY','AGN'
450,51908,409,'26','506767415154075648','09:06:13.77','+56:10:15.21',0.04662,9e-06,0,'GALAXY','STARBURST'
460,51924,616,'26','518083314217674752','03:25:25.36','-06:08:37.93',0.034414,1.2e-05,0,'GALAXY','AGN'
462,51909,444,'26','520287834779707392','03:39:23.15','-05:48:41.61',0.084796,8e-06,0,'GALAXY','AGN'
468,51912,233,'26','526985235032729600','08:51:41.01','+00:24:43.58',0.051431,5e-06,0,'GALAXY','STARFORMING'
486,51910,231,'26','547250883566528512','09:35:51.59','+61:21:11.53',0.039386,1.4e-05,0,'GALAXY','AGN BROADLINE'
488,51914,555,'26','549591743889172480','10:20:39.81','+64:24:35.90',0.122295,1.8e-05,0,'GALAXY','AGN'
489,51930,50,'26','550578830721443840','10:38:01.63','+64:15:58.95',0.005577,1.2e-05,0,'GALAXY','STARFORMING'
