#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
663,52145,306,'26','746555786863339520','01:34:02.53','-09:46:26.96',0.040774,9e-06,0,'GALAXY','AGN'
1222,52763,341,'26','1375943465883428864','11:13:49.74','+09:35:10.65',0.029251,6e-06,0,'GALAXY','AGN'
1330,52822,391,'26','1497554400707635200','15:08:03.17','+48:57:28.14',0.110975,8e-06,0,'GALAXY','STARFORMING'
1377,53050,441,'26','1550485444049790976','13:45:19.14','+41:42:44.78',0.008503,1.2e-05,0,'GALAXY','AGN'
1453,53084,289,'26','1636012056098400256','12:27:28.70','+46:18:25.86',4.58547,0.000398,0,'QSO','BROADLINE'
1724,53859,116,'26','1941083389977192448','15:43:27.03','+07:54:42.08',0.036574,8e-06,0,'GALAXY','STARFORMING BROADLINE'
2022,53827,286,'26','2276648290923603968','12:41:44.55','+35:03:45.96',0.023094,9e-06,0,'GALAXY','AGN BROADLINE'
2511,53882,29,'26','2827142702670309376','11:52:48.18','+21:22:55.57',0.171645,1.2e-05,0,'GALAXY','STARFORMING'
2660,54504,446,'26','2995016423312484352','12:41:31.47','+26:02:33.59',0.01594,8e-06,0,'GALAXY','STARFORMING'
6138,56598,213,'v5_10_0','6910832287891300352','23:44:55.75','+15:23:03.65',0.248379,2e-05,0,'GALAXY','STARFORMING BROADLINE'
