#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
2089,53498,416,'26','2352119313290258432','12:06:11.43','+35:05:25.67',0.080826,1.2e-05,0,'GALAXY','AGN BROADLINE'
2357,53793,115,'26','2653777755023370240','10:59:57.65','+25:43:06.18',0.108871,3.3e-05,0,'GALAXY','AGN BROADLINE'
4776,55652,25,'v5_10_0','5377304921853894656','15:13:33.84','+04:02:22.87',0.217157,2.9e-05,0,'QSO','BROADLINE'
5129,55864,169,'v5_7_0','5774787174944403456','01:35:55.88','+16:20:20.21',0.185071,7.6e-05,0,'QSO','BROADLINE'
6031,56091,7,'v5_10_0','6790304364504260608','16:52:05.39','+43:09:02.38',0.633688,4.3e-05,0,'QSO','BROADLINE'
6473,56363,672,'v5_10_0','7288134921700220928','12:00:41.39','+31:47:46.28',0.116138,2e-05,0,'QSO','AGN BROADLINE'
6592,56535,653,'v5_10_0','7422111790819942400','23:05:55.56','+22:20:30.52',0.179722,9.7e-05,0,'QSO','BROADLINE'
6974,56442,627,'v5_10_0','7852198406847963136','12:06:53.73','+65:01:52.20',0.506283,2.2e-05,0,'QSO','AGN BROADLINE'
7101,56659,293,'v5_10_0','7995095889436712960','11:05:11.69','+55:13:00.26',0.426155,3.7e-05,0,'QSO','AGN BROADLINE'
