#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
403,51871,219,'26','453797892109395968','01:57:29.43','-00:51:05.85',0.155504,2.8e-05,0,'GALAXY',''
457,51901,166,'26','514581919053146112','02:53:50.37','-07:56:36.52',0.115913,7e-06,0,'GALAXY','STARFORMING'
538,52029,413,'26','605847708497897472','14:52:45.47','+02:53:21.34',0.264146,2.9e-05,0,'GALAXY',''
611,52055,128,'26','687960061930137600','15:05:25.70','+60:16:24.97',0.129535,1.5e-05,0,'GALAXY','AGN BROADLINE'
629,52051,561,'26','708345282319902720','16:45:27.95','+45:45:17.04',0.154413,2e-05,0,'GALAXY',''
719,52203,555,'26','809674627218434048','22:17:31.44','-08:45:37.91',0.156849,1.4e-05,0,'GALAXY','AGN BROADLINE'
781,52373,607,'26','879494717945964544','12:50:17.09','+63:25:20.30',0.167322,2.3e-05,0,'GALAXY',''
819,52409,369,'26','922213494068111360','16:46:08.27','+36:37:05.21',0.136404,2.4e-05,0,'GALAXY',''
870,52325,536,'26','979680292518258688','09:31:24.00','+44:18:57.32',0.143162,1.7e-05,0,'GALAXY',''
1185,52642,345,'26','1334286266811836416','08:19:53.53','+04:14:09.22',0.432552,0.000131,0,'GALAXY','BROADLINE'
1223,52781,386,'26','1377081735598073856','11:25:53.48','+09:59:14.84',0.003863,1.3e-05,0,'GALAXY','STARFORMING'
1311,52765,359,'26','1476153505428301824','11:33:51.93','+57:27:15.75',0.162523,2.4e-05,0,'GALAXY',''
1366,53063,430,'26','1538097521635649536','11:30:43.87','+45:29:39.20',0.181529,2.8e-05,0,'GALAXY',''
1429,52990,416,'26','1609025366251300864','10:28:56.98','+45:09:10.94',0.169991,2.1e-05,0,'GALAXY','AGN BROADLINE'
1463,53063,262,'26','1647263633111017472','13:24:01.63','+45:46:20.72',0.125265,1.1e-05,0,'GALAXY','BROADLINE'
1574,53476,577,'26','1772325116240226304','16:27:18.80','+25:52:29.63',0.192309,3.1e-05,0,'GALAXY',''
1578,53496,1,'26','1776670386528741376','16:08:54.21','+28:18:37.70',0.172819,2e-05,0,'GALAXY',''
1583,52941,333,'26','1782391136216705024','07:55:28.97','+21:30:38.24',0.273066,3.5e-05,0,'GALAXY',''
1616,53169,135,'26','1819491411142141952','12:36:32.71','+11:15:28.77',0.007577,1.3e-05,0,'GALAXY','BROADLINE'
1621,53383,336,'26','1825176164725975040','11:43:18.21','+08:21:27.19',0.185467,2.4e-05,0,'GALAXY',''
1658,53240,319,'26','1866829785955592192','16:19:25.98','+21:59:39.96',0.123463,2.1e-05,0,'GALAXY',''
1701,53142,496,'26','1915292133695186944','13:47:19.24','+11:49:15.11',0.279798,2.6e-05,0,'GALAXY','BROADLINE'
1769,53502,17,'26','1991721666882856960','12:44:58.78','+14:06:18.37',0.227673,3.9e-05,0,'GALAXY',''
1989,53772,606,'26','2239581554005272576','12:56:33.55','+39:17:59.91',0.126792,1.8e-05,0,'GALAXY',''
2022,53827,88,'26','2276593865098029056','12:47:00.25','+35:18:17.02',0.168252,2.7e-05,0,'GALAXY',''
2123,53793,77,'26','2390306731461732352','14:11:09.74','+26:50:51.37',0.130085,2.7e-05,0,'GALAXY',''
2165,53917,68,'26','2437592055728334848','15:42:24.12','+23:40:53.94',0.295523,3.1e-05,0,'GALAXY','BROADLINE'
2168,53886,332,'26','2441042322696202240','15:42:34.52','+21:11:20.67',0.133965,2e-05,0,'GALAXY',''
2225,53729,345,'26','2505222188164999168','11:54:46.09','+30:08:30.45',0.177966,1.9e-05,0,'GALAXY',''
2292,53713,73,'26','2580582714864330752','09:41:40.70','+21:21:02.49',0.175758,2.3e-05,0,'GALAXY',''
2608,54474,8,'26','2936349231130109952','12:05:41.89','+18:41:54.48',0.177218,2.4e-05,0,'GALAXY','BROADLINE'
2789,54555,502,'26','3140272905313609728','14:44:00.79','+21:18:50.53',0.187696,2e-05,0,'GALAXY',''
2791,54556,321,'26','3142474952242915328','14:54:40.68','+20:38:34.87',0.185397,2.1e-05,0,'GALAXY',''
