#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
591,52022,467,'26','665535246850091008','15:17:49.18','+04:09:45.18',0.036824,1.3e-05,0,'GALAXY',''
676,52178,420,'26','761223822287333376','22:52:22.60','+01:05:33.15',0.016431,8e-06,0,'GALAXY',''
1251,52964,559,'26','1408654489937799168','04:23:16.59','+29:14:49.97',0.059338,2e-05,0,'GALAXY','BROADLINE'
1254,52972,234,'26','1411942854472787968','04:13:38.80','+25:28:58.49',0.012713,1.3e-05,0,'GALAXY',''
1257,52944,314,'26','1415342543956109312','04:40:23.27','+24:54:02.10',0.012341,2.6e-05,0,'GALAXY',''
1617,53112,454,'26','1820704996144998400','11:18:43.11','+07:58:12.64',0.107076,3.2e-05,0,'GALAXY',''
1707,53885,113,'26','1921942267363354624','14:23:53.18','+10:03:06.61',0.119877,2.5e-05,0,'GALAXY','BROADLINE'
1719,53876,89,'26','1935446469024704512','15:15:38.69','+08:18:02.72',0.03394,1.9e-05,0,'GALAXY',''
1946,53432,350,'26','2191097483562608640','09:43:12.01','+31:55:43.34',0.005132,9e-06,0,'GALAXY',''
2120,53852,540,'26','2387056301201975296','14:01:31.58','+28:17:11.95',0.027189,1.3e-05,0,'GALAXY',''
2418,53794,116,'26','2722457924235454464','08:04:46.41','+10:46:35.90',0.034745,8e-06,0,'GALAXY','AGN BROADLINE'
2508,53875,389,'26','2823863958878840832','11:40:16.99','+17:43:40.43',0.011586,1.3e-05,0,'GALAXY',''
7035,56568,452,'v5_10_0','7920830199645577216','00:03:31.28','-05:38:48.36',0.100312,1.6e-05,0,'GALAXY',''
7048,56575,454,'v5_10_0','7935467448307785728','01:28:55.60','-05:51:37.27',0.063283,1.4e-05,0,'GALAXY',''
7054,56575,500,'v5_10_0','7942235492132560896','02:47:22.00','-04:32:59.16',0.137883,1.8e-05,0,'GALAXY','AGN BROADLINE'
7056,56577,500,'v5_10_0','7944487291979800576','02:50:48.97','-05:57:43.43',0.087087,1.7e-05,0,'GALAXY','STARFORMING'
7057,56593,115,'v5_10_0','7945507364160905216','02:46:39.41','-08:05:25.99',0.068369,1.1e-05,0,'GALAXY','STARFORMING BROADLINE'
7152,56660,174,'v5_10_0','8052484074231537664','00:36:00.56','-08:25:03.36',0.122043,1.3e-05,0,'GALAXY','STARFORMING'
7161,56625,262,'v5_10_0','8062641362061729792','01:31:04.76','-07:48:13.66',0.074718,5e-06,0,'GALAXY','STARFORMING'
