#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
345,51690,229,'26','388498443254917120','16:08:18.74','-00:27:45.43',0.112833,9e-06,0,'GALAXY',''
746,52238,531,'26','840067328220620800','23:29:43.09','+15:22:19.96',0.102811,8e-06,0,'GALAXY','STARFORMING'
1420,53146,528,'26','1598923056032540672','16:17:54.04','+32:06:27.45',0.116885,1.5e-05,0,'GALAXY','STARFORMING'
1421,53149,253,'26','1599973364565305344','16:27:30.42','+27:54:59.22',0.132978,8e-06,0,'GALAXY',''
1543,53738,574,'26','1737421398890014720','00:31:48.13','+00:11:32.38',0.125358,6e-06,0,'GALAXY','STARFORMING'
1699,53148,495,'26','1913040059104258048','13:29:26.20','+11:51:18.98',0.147515,9e-06,0,'GALAXY',''
1762,53415,435,'26','1983955265040443392','11:50:03.19','+15:01:30.13',0.130405,7e-06,0,'GALAXY','STARFORMING'
4079,55363,773,'v5_10_0','4592758290610364416','21:09:31.70','+08:01:14.89',0.133265,1.2e-05,0,'GALAXY',''
5399,55956,245,'v5_10_0','6078801042056650752','12:22:52.93','+09:58:46.24',0.276473,1.4e-05,0,'GALAXY','STARFORMING'
