#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
298,51955,204,'26','335574280131602432','13:33:05.34','-01:02:08.95',0.012346,5e-06,0,'GALAXY','AGN BROADLINE'
405,51816,603,'26','456155244116600832','02:17:04.78','+01:14:39.11',0.021411,8e-06,0,'GALAXY','BROADLINE'
422,51878,80,'26','475151782427781120','01:12:16.50','+14:34:42.79',0.094201,1.7e-05,0,'GALAXY',''
447,51877,376,'26','503380643942524928','08:43:17.21','+52:45:28.54',0.058749,1.1e-05,0,'GALAXY','BROADLINE'
468,51912,523,'26','527064949625743360','08:53:09.55','+02:14:47.12',0.035238,9e-06,0,'GALAXY',''
519,52283,415,'26','584456164285114368','12:22:42.34','+03:08:30.54',0.023084,8e-06,0,'GALAXY','AGN'
533,51994,537,'26','600252293236942848','14:14:51.35','+03:07:51.33',0.025277,7e-06,0,'GALAXY','AGN BROADLINE'
667,52163,205,'26','751031624124098560','02:09:20.85','-10:07:59.08',0.012857,7e-06,0,'GALAXY','AGN BROADLINE'
727,52207,504,'26','818667807767029760','21:03:19.51','+10:56:38.94',0.043153,9e-06,0,'GALAXY','STARFORMING BROADLINE'
1251,52964,559,'26','1408654489937799168','04:23:16.59','+29:14:49.97',0.059338,2e-05,0,'GALAXY','BROADLINE'
1324,53088,456,'26','1490816872793270272','14:05:12.42','+55:44:30.67',0.005495,5e-06,0,'GALAXY','AGN BROADLINE'
1327,52781,215,'26','1494128321787619328','14:37:30.77','+51:33:42.70',0.007286,7e-06,0,'GALAXY','BROADLINE'
1404,52825,251,'26','1580832510957348864','15:56:58.66','+31:54:34.87',0.04782,1.4e-05,0,'GALAXY','BROADLINE'
1430,53002,356,'26','1610134773685053440','10:25:43.29','+39:38:46.97',0.023427,7e-06,0,'GALAXY','BROADLINE'
1460,53138,244,'26','1643880986846455808','13:08:12.09','+41:40:34.83',0.02777,1e-05,0,'GALAXY','AGN BROADLINE'
1707,53885,113,'26','1921942267363354624','14:23:53.18','+10:03:06.61',0.119877,2.5e-05,0,'GALAXY','BROADLINE'
1719,53876,89,'26','1935446469024704512','15:15:38.69','+08:18:02.72',0.03394,1.9e-05,0,'GALAXY',''
1816,53919,545,'26','2044784105035425792','15:10:18.41','+07:42:19.58',0.042387,1e-05,0,'GALAXY','BROADLINE'
2028,53818,60,'26','2283341567806695424','13:50:36.02','+33:42:17.38',0.014338,7e-06,0,'GALAXY','AGN BROADLINE'
2105,53472,230,'26','2370082584072841216','12:10:07.97','+35:52:39.41',0.02249,9e-06,0,'GALAXY','BROADLINE'
2199,53556,78,'26','2475875395283478528','16:06:32.20','+17:42:49.94',0.040346,1.1e-05,0,'GALAXY','BROADLINE'
2440,53818,135,'26','2747232945268877312','09:24:05.31','+14:10:21.57',0.135733,3.8e-05,0,'QSO','STARFORMING BROADLINE'
2487,53852,117,'26','2800145293658580992','11:03:29.78','+16:22:12.42',0.04662,1e-05,0,'GALAXY',''
4745,55892,18,'v5_10_0','5342400104622956544','08:08:21.10','+00:50:35.32',0.101533,1.7e-05,0,'GALAXY','AGN BROADLINE'
5994,56101,342,'v5_10_0','6748738152217681920','13:07:43.95','+26:16:08.83',0.352224,4.3e-05,0,'GALAXY','AGN BROADLINE'
6138,56598,270,'v5_10_0','6910847955931996160','23:44:20.75','+15:46:11.89',0.197554,1e-05,0,'GALAXY','BROADLINE'
6258,56238,282,'v5_10_0','7045959237248196608','01:14:34.99','+25:33:06.00',0.183205,2.7e-05,0,'GALAXY','BROADLINE'
6261,56219,680,'v5_10_0','7049446338056921088','01:21:36.18','+27:53:38.76',0.191072,2.4e-05,0,'GALAXY',''
7054,56575,500,'v5_10_0','7942235492132560896','02:47:22.00','-04:32:59.16',0.137883,1.8e-05,0,'GALAXY','AGN BROADLINE'
7057,56593,115,'v5_10_0','7945507364160905216','02:46:39.41','-08:05:25.99',0.068369,1.1e-05,0,'GALAXY','STARFORMING BROADLINE'
