#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
269,51910,466,'26','302995200089810944','10:04:53.27','+00:12:43.07',0.177913,2.8e-05,0,'GALAXY','STARFORMING'
691,52199,123,'26','778030682503931904','00:45:33.90','-01:06:06.24',0.01377,4e-06,0,'GALAXY','STARFORMING'
967,52636,302,'26','1088828267269482496','11:33:28.95','+49:14:13.01',0.000845,3e-06,0,'GALAXY','STARBURST'
1010,52649,301,'26','1137241688603912192','10:39:27.45','+52:28:41.97',0.021838,5e-06,0,'GALAXY','STARFORMING'
1784,54425,75,'26','2008626123889469440','08:45:49.66','+57:32:39.33',0.085259,5e-06,0,'GALAXY','STARFORMING'
2100,53713,106,'26','2364419003721476096','11:27:32.59','+33:26:41.30',0.02427,6e-06,0,'GALAXY','STARFORMING'
2477,54058,460,'26','2788980581168343040','10:42:32.62','+23:54:10.00',0.044044,1.4e-05,0,'GALAXY','BROADLINE'
2516,54241,391,'26','2832871714029856768','15:39:04.36','+11:42:40.89',0.035302,4e-06,0,'GALAXY','STARFORMING'
4350,55556,266,'v5_10_0','4897737805503897600','01:43:08.30','-02:47:15.83',0.20525,2.8e-05,0,'GALAXY',''
5068,55749,474,'v5_10_0','5706191116459548672','22:08:38.55','+07:46:39.89',6.6e-05,1.2e-05,0,'STAR','F8V (30562)'
6138,56598,559,'v5_10_0','6910927395647102976','23:40:51.87','+16:41:51.54',0.189315,1.2e-05,0,'GALAXY','STARFORMING'
6485,56342,655,'v5_10_0','7301641047305592832','12:50:19.05','+32:32:52.51',0.023323,7e-06,0,'GALAXY','STARFORMING'
