#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
438,51884,462,'26','493271184398379008','08:03:12.61','+47:36:49.74',0.117353,2e-05,0,'GALAXY','AGN BROADLINE'
472,51955,247,'26','531492683672217600','09:11:38.38','-00:42:53.99',0.070203,7e-06,0,'GALAXY','STARFORMING'
475,51965,626,'26','534974562287249408','09:33:13.95','+01:58:58.64',0.031121,1.1e-05,0,'GALAXY','STARFORMING'
966,52642,221,'26','1087680102352840704','11:29:00.55','+48:43:59.25',0.073582,7e-06,0,'GALAXY','STARFORMING'
1304,52993,552,'26','1468325261341648896','09:37:49.93','+10:11:38.07',0.093555,6e-06,0,'GALAXY','STARFORMING'
1462,53112,638,'26','1646241088119269376','13:28:34.01','+41:51:08.21',1.35975,0.000155,16,'QSO',''
2222,53799,480,'26','2501881598136313856','11:44:38.45','+29:53:23.70',0.076049,8e-06,0,'GALAXY','STARFORMING'
2281,53711,156,'26','2568220630721783808','08:54:36.70','+18:05:52.98',4.98153,0.001393,0,'QSO',''
2430,53815,267,'26','2736010230033836032','08:49:43.94','+12:17:55.37',0.050553,1.4e-05,0,'GALAXY','STARFORMING'
2744,54272,561,'26','3089623622554249216','14:06:22.32','+16:29:00.38',0.013781,7e-06,0,'GALAXY',''
4745,55892,18,'v5_10_0','5342400104622956544','08:08:21.10','+00:50:35.32',0.101533,1.7e-05,0,'GALAXY','AGN BROADLINE'
