#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
519,52283,415,'26','584456164285114368','12:22:42.34','+03:08:30.54',0.023084,8e-06,0,'GALAXY','AGN'
533,51994,537,'26','600252293236942848','14:14:51.35','+03:07:51.33',0.025277,7e-06,0,'GALAXY','AGN BROADLINE'
575,52319,200,'26','647447460922288128','10:23:39.64','+04:11:10.61',0.289746,9e-06,0,'GALAXY','STARBURST BROADLINE'
667,52163,205,'26','751031624124098560','02:09:20.85','-10:07:59.08',0.012857,7e-06,0,'GALAXY','AGN BROADLINE'
727,52207,504,'26','818667807767029760','21:03:19.51','+10:56:38.94',0.043153,9e-06,0,'GALAXY','STARFORMING BROADLINE'
1324,53088,456,'26','1490816872793270272','14:05:12.42','+55:44:30.67',0.005495,5e-06,0,'GALAXY','AGN BROADLINE'
1388,53119,128,'26','1562784307397814272','15:32:53.78','+30:20:59.40',0.362049,1.5e-05,0,'GALAXY','STARBURST'
1816,53919,545,'26','2044784105035425792','15:10:18.41','+07:42:19.58',0.042387,1e-05,0,'GALAXY','BROADLINE'
2440,53818,135,'26','2747232945268877312','09:24:05.31','+14:10:21.57',0.135733,3.8e-05,0,'QSO','STARFORMING BROADLINE'
2580,54092,470,'26','2904951020922628096','09:38:01.64','+13:53:17.07',0.100602,6e-06,0,'GALAXY','STARBURST'
4312,55511,732,'v5_10_0','4855081701393539072','01:13:30.05','+04:27:51.99',0.05911,4.8e-05,0,'QSO','BROADLINE'
6473,56363,672,'v5_10_0','7288134921700220928','12:00:41.39','+31:47:46.28',0.116138,2e-05,0,'QSO','AGN BROADLINE'
