#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
267,51608,508,'26','300754940081498112','09:53:20.22','+00:41:51.83',0.012555,7e-06,0,'GALAXY','BROADLINE'
411,51817,362,'26','462844397998860288','03:00:40.84','+01:02:59.99',0.072075,1.9e-05,0,'GALAXY',''
412,52258,180,'26','463920277525391360','03:10:47.15','-00:30:29.74',0.127465,3e-05,0,'GALAXY',''
412,52258,492,'26','464006039432357888','03:10:34.10','+00:29:38.66',0.047427,1.8e-05,0,'GALAXY','STARFORMING'
427,51900,71,'26','480778808429930496','02:05:28.49','+13:15:04.02',0.025916,1.2e-05,0,'GALAXY','AGN BROADLINE'
440,51885,227,'26','495458387920709632','08:09:11.74','+49:01:01.36',0.116703,2.4e-05,0,'GALAXY',''
468,51912,523,'26','527064949625743360','08:53:09.55','+02:14:47.12',0.035238,9e-06,0,'GALAXY',''
473,51929,492,'26','532685928230053888','09:20:06.44','+01:58:07.65',0.084976,2.3e-05,0,'GALAXY','BROADLINE'
512,51992,536,'26','576608120281786368','11:29:34.19','+03:23:04.88',0.108812,3.6e-05,0,'GALAXY',''
588,52045,622,'26','662200153591015424','14:58:51.88','+04:12:43.41',0.043913,8e-06,0,'GALAXY','STARBURST'
591,52022,467,'26','665535246850091008','15:17:49.18','+04:09:45.18',0.036824,1.3e-05,0,'GALAXY',''
613,52345,393,'26','690284709254555648','15:11:40.96','+59:48:32.12',0.008217,8e-06,0,'GALAXY',''
667,52163,205,'26','751031624124098560','02:09:20.85','-10:07:59.08',0.012857,7e-06,0,'GALAXY','AGN BROADLINE'
676,52178,420,'26','761223822287333376','22:52:22.60','+01:05:33.15',0.016431,8e-06,0,'GALAXY',''
731,52460,381,'26','823137601656481792','21:31:37.56','+11:49:53.90',0.02883,1.1e-05,0,'GALAXY','BROADLINE'
862,52325,108,'26','970555445519345664','08:22:17.47','+33:01:05.22',0.103058,3.4e-05,0,'GALAXY',''
1055,52761,515,'26','1187966010162964480','16:06:50.38','+38:22:33.33',0.103177,3.9e-05,0,'GALAXY',''
1251,52964,559,'26','1408654489937799168','04:23:16.59','+29:14:49.97',0.059338,2e-05,0,'GALAXY','BROADLINE'
1303,53050,443,'26','1467169400699250688','09:33:46.09','+10:09:09.01',0.010779,8e-06,0,'GALAXY','AGN BROADLINE'
1617,53112,454,'26','1820704996144998400','11:18:43.11','+07:58:12.64',0.107076,3.2e-05,0,'GALAXY',''
1620,53137,443,'26','1824079672627980288','11:42:22.33','+08:46:11.51',0.021607,1.3e-05,0,'GALAXY','BROADLINE'
1624,53386,594,'26','1828624782996826112','12:16:33.78','+07:27:43.52',0.008621,5e-06,0,'GALAXY','BROADLINE'
1672,53460,489,'26','1882639117586556928','14:19:43.23','+49:14:11.93',0.025528,5.1e-05,0,'GALAXY','STARBURST'
1707,53885,113,'26','1921942267363354624','14:23:53.18','+10:03:06.61',0.119877,2.5e-05,0,'GALAXY','BROADLINE'
1719,53876,89,'26','1935446469024704512','15:15:38.69','+08:18:02.72',0.03394,1.9e-05,0,'GALAXY',''
1946,53432,350,'26','2191097483562608640','09:43:12.01','+31:55:43.34',0.005132,9e-06,0,'GALAXY',''
2120,53852,540,'26','2387056301201975296','14:01:31.58','+28:17:11.95',0.027189,1.3e-05,0,'GALAXY',''
2199,53556,78,'26','2475875395283478528','16:06:32.20','+17:42:49.94',0.040346,1.1e-05,0,'GALAXY','BROADLINE'
2201,53904,263,'26','2478178053348419584','16:13:29.66','+16:04:25.73',0.113931,2.5e-05,0,'GALAXY',''
2235,53847,86,'26','2516409995835238400','12:33:08.45','+26:20:57.74',0.02418,1e-05,0,'GALAXY',''
2418,53794,116,'26','2722457924235454464','08:04:46.41','+10:46:35.90',0.034745,8e-06,0,'GALAXY','AGN BROADLINE'
2508,53875,389,'26','2823863958878840832','11:40:16.99','+17:43:40.43',0.011586,1.3e-05,0,'GALAXY',''
2754,54240,372,'26','3100830669161392128','15:30:00.84','+12:59:21.57',0.013298,1e-05,0,'GALAXY','STARBURST'
2777,54554,201,'26','3126679368164730880','14:49:33.11','+17:12:00.99',0.037228,6e-06,0,'GALAXY','STARFORMING'
2787,54552,606,'26','3138049692751915008','14:31:54.10','+21:56:18.35',0.044282,1.6e-05,0,'GALAXY','STARBURST'
7140,56569,428,'v5_10_0','8039043092811063296','23:09:10.61','+33:36:55.63',0.065416,1.1e-05,0,'GALAXY','BROADLINE'
7161,56625,262,'v5_10_0','8062641362061729792','01:31:04.76','-07:48:13.66',0.074718,5e-06,0,'GALAXY','STARFORMING'
7161,56625,702,'v5_10_0','8062762308340785152','01:30:03.13','-06:15:19.94',0.320684,5.1e-05,0,'GALAXY',''
